Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Actual Result),Custom field (Actual end),Custom field (Actual start),Custom field (Category),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Compass),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Epic Link Summary,Custom field (Epic Name),Custom field (Epic Status),Custom field (Expected Result),Custom field (Expected Result),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Rank),Custom field (Request Type),Sprint,Sprint,Sprint,Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Test Level),Custom field (Test Steps),Custom field (Testcase Result),Custom field (Total forms),Custom field ([CHART] Date of First Response),Status Category
IP36-Customer Id-Customer Id does not associate with Manager,BN-177,10221,Story,Done,BN,Banking,software,Sam Sam,62995bcbe54087006967b97f,,Medium,Done,Ngô Đức Hoàng,6391367d2acfad92d7b5d253,Ngô Đức Hoàng,6391367d2acfad92d7b5d253,Ngô Đức Hoàng,6391367d2acfad92d7b5d253,22/Dec/22 12:06 AM,23/Dec/22 9:39 PM,22/Mar/23 10:52 PM,23/Dec/22 9:39 PM,,0,EditCustomer,,,Ngô Đức Hoàng,6391367d2acfad92d7b5d253,,,,,,,,,"Message displayed ""Customer Id does not associate with Manager, System display""",,,,,,,,,,BN-7,Edit Customer,,,,"Message should be shown ""Customer Id does not associate with Manager""",,,,,0|i0018v:,,BN Sprint 2,,,,,,,,,,,Integratiom,"Enter all required field
Submit",Pass,,,Done
IP35-Customer Id-Customer Id is invalid,BN-176,10220,Story,Done,BN,Banking,software,Sam Sam,62995bcbe54087006967b97f,,Medium,Done,Ngô Đức Hoàng,6391367d2acfad92d7b5d253,Ngô Đức Hoàng,6391367d2acfad92d7b5d253,Ngô Đức Hoàng,6391367d2acfad92d7b5d253,22/Dec/22 12:01 AM,23/Dec/22 9:39 PM,17/Mar/23 1:47 PM,23/Dec/22 9:39 PM,,0,EditCustomer,,,Ngô Đức Hoàng,6391367d2acfad92d7b5d253,,,,,,,,,"Message displayed ""You are not authorize to edit this customer""",,,,,,,,,,BN-7,Edit Customer,,,,"Message should be shown ""Customer Id is invalid""",,,,,0|i0018n:,,BN Sprint 2,,,,,,,,,,,Integratiom,"Enter all required field
Submit",Pass,,,Done
IP34-Customer Id-Email Id exist in the system,BN-175,10219,Bug,Resolved,BN,Banking,software,Sam Sam,62995bcbe54087006967b97f,,Medium,Done,Ngô Đức Hoàng,6391367d2acfad92d7b5d253,Ngô Đức Hoàng,6391367d2acfad92d7b5d253,Ngô Đức Hoàng,6391367d2acfad92d7b5d253,21/Dec/22 11:57 PM,23/Dec/22 9:46 PM,22/Mar/23 10:52 PM,23/Dec/22 9:46 PM,,0,EditCustomer,,,Ngô Đức Hoàng,6391367d2acfad92d7b5d253,,,,,,,,,"Message displayed ""You are not authorize to edit this customer""",,,,,,,,,,BN-7,Edit Customer,,,,"Message should be shown ""Email Id exist in the system""",,,,,0|i0018f:,,,,,,,,,,,,,Integratiom,"Enter all required field
Submit",Pass,,,Done
IP33-Customer Name & Email Id -Email Id exist in the system,BN-174,10218,Story,Done,BN,Banking,software,Sam Sam,62995bcbe54087006967b97f,,Medium,Done,Ngô Đức Hoàng,6391367d2acfad92d7b5d253,Ngô Đức Hoàng,6391367d2acfad92d7b5d253,Ngô Đức Hoàng,6391367d2acfad92d7b5d253,21/Dec/22 11:40 PM,23/Dec/22 9:36 PM,22/Mar/23 10:52 PM,23/Dec/22 9:36 PM,,0,NewCustomer,,,Ngô Đức Hoàng,6391367d2acfad92d7b5d253,,,,,,,,,"Message displayed ""Your user id is wrong please provide correct usesid""",,,,,,,,,,BN-6,New Customer,,,,"Message should be shown ""Email Id exist in the system.""",,,,,0|i00187:,,BN Sprint 2,,,,,,,,,,,Integratiom,"Enter all required field
Submit",Pass,,,Done
IPF32 - Customer Id &Account Type & Initial deposit -Customer Id does not associate with manager,BN-173,10217,Bug,Resolved,BN,Banking,software,Sam Sam,62995bcbe54087006967b97f,,Medium,Done,Ngô Đức Hoàng,6391367d2acfad92d7b5d253,Ngô Đức Hoàng,6391367d2acfad92d7b5d253,Ngô Đức Hoàng,6391367d2acfad92d7b5d253,21/Dec/22 11:33 PM,30/Dec/22 11:13 PM,22/Mar/23 10:52 PM,23/Dec/22 9:33 PM,,0,NewAccount,,,Ngô Đức Hoàng,6391367d2acfad92d7b5d253,,,,,,,,,"Message displayed ""Customer Id does not associate with manager""",,,,,,,,,,BN-8,New Account,,,,"Message should be shown ""Customer Id does not associate with manager""",,,,,0|i0017z:,,BN Sprint 2,BN Sprint 3,,,,,,,,,,Integratiom,"Enter all required field
Submit",Pass,,,Done
IPF25 - Customer Id - The Customer Id does not associate with manager,BN-172,10216,Story,Done,BN,Banking,software,Sam Sam,62995bcbe54087006967b97f,,Medium,Done,Như Ngọc Vũ,62995da5cd636500697d7f1a,Như Ngọc Vũ,62995da5cd636500697d7f1a,Như Ngọc Vũ,62995da5cd636500697d7f1a,21/Dec/22 10:51 PM,24/Dec/22 9:39 AM,22/Mar/23 10:52 PM,24/Dec/22 9:39 AM,,0,DeleteCustomer,,,Như Ngọc Vũ,62995da5cd636500697d7f1a,,,,,,,,,"Message displayed ""Customer Id does not associate with manager, System displays""",,,,,,,,,,BN-11,Delete Customer,,,,"Message should be shown ""Customer Id does not associate with manager """,,,,,0|i0017r:,,BN Sprint 2,,,,,,,,,,,Integratiom,"Enter all required field
Submit",Pass,,,Done
IPF24 - Customer Id - The account associate with Customer Id,BN-171,10215,Story,Done,BN,Banking,software,Sam Sam,62995bcbe54087006967b97f,,Medium,Done,Như Ngọc Vũ,62995da5cd636500697d7f1a,Như Ngọc Vũ,62995da5cd636500697d7f1a,Như Ngọc Vũ,62995da5cd636500697d7f1a,21/Dec/22 10:44 PM,24/Dec/22 9:46 AM,22/Mar/23 10:52 PM,24/Dec/22 9:46 AM,,0,DeleteCustomer,,,Như Ngọc Vũ,62995da5cd636500697d7f1a,,,,,,,,,"Message should be shown ""account associate with Customer Id, System displays  """,,,,,,,,,,BN-11,Delete Customer,,,,"Message should be shown ""account associate with Customer Id """,,,,,0|i0017j:,,BN Sprint 2,,,,,,,,,,,Integratiom,"Enter all required field
Submit",Pass,,,Done
IPF23 - Customer Id - Customer Id is invalid,BN-170,10214,Bug,Resolved,BN,Banking,software,Sam Sam,62995bcbe54087006967b97f,,Medium,Done,Như Ngọc Vũ,62995da5cd636500697d7f1a,Như Ngọc Vũ,62995da5cd636500697d7f1a,Như Ngọc Vũ,62995da5cd636500697d7f1a,21/Dec/22 10:29 PM,30/Dec/22 11:13 PM,22/Mar/23 10:52 PM,28/Dec/22 9:29 PM,,0,DeleteCustomer,,,Như Ngọc Vũ,62995da5cd636500697d7f1a,,,,,,,,,"Message displayed "" You are not authorize to delete this customer!!""",,,,,,,,,,BN-11,Delete Customer,,,,"Message should be shown "" Customer Id is invalid, system displays "" ",,,,,0|i0017b:,,BN Sprint 2,BN Sprint 3,,,,,,,,,,Integratiom,,Fail,,,Done
IP31-Customer Id & Account Type & Initial deposit- Initial deposit is less than 500,BN-169,10213,Bug,Resolved,BN,Banking,software,Sam Sam,62995bcbe54087006967b97f,,Medium,Done,Ngô Đức Hoàng,6391367d2acfad92d7b5d253,Ngô Đức Hoàng,6391367d2acfad92d7b5d253,Ngô Đức Hoàng,6391367d2acfad92d7b5d253,21/Dec/22 10:28 PM,30/Dec/22 11:13 PM,22/Mar/23 10:52 PM,23/Dec/22 9:32 PM,,0,NewAccount,,,Ngô Đức Hoàng,6391367d2acfad92d7b5d253,,,,,,,,,"Message displayed ""Intial deposit must be Rs.500 or more""",,,,,,,,,,BN-8,New Account,,,,"Message should be shown ""initial deposit is less than 500""",,,,,0|i00173:,,BN Sprint 2,BN Sprint 3,,,,,,,,,,Integratiom,"Enter all required field
Submit",Pass,,,Done
IPF30 - Customer Id &Account Type & Initial deposit - Customer ID is invalid,BN-168,10212,Story,Done,BN,Banking,software,Sam Sam,62995bcbe54087006967b97f,,Medium,Done,Ngô Đức Hoàng,6391367d2acfad92d7b5d253,Ngô Đức Hoàng,6391367d2acfad92d7b5d253,Ngô Đức Hoàng,6391367d2acfad92d7b5d253,21/Dec/22 10:21 PM,23/Dec/22 9:29 PM,22/Mar/23 10:52 PM,23/Dec/22 9:29 PM,,0,NewAccount,,,Ngô Đức Hoàng,6391367d2acfad92d7b5d253,,,,,,,,,"Message displayed ""You are not authorize to Add Account for this Customer""",,,,,,,,,,BN-8,New Account,,,,"Message should be shown ""Manager can view balance of accounts associate with him""",,,,,0|i0016v:,,BN Sprint 2,,,,,,,,,,,Integratiom,"Enter all required field
Submit",Pass,,,Done
